video_id,video_title,channel_title,published_at,coaster_title,park,location,country,search_query,fetched_at_utc,view_count,like_count,comment_count,channel_id,channel_title_api
6kWODMRTtxs,10 Inversion Roller Coaster POV Chimelong Paradise China 1080p HD,Theme Park Review,2015-02-05T20:00:13Z,10 Inversion Roller Coaster,Chimelong Paradise,"Panyu, Guangzhou, Guangdong",China,"""10 Inversion Roller Coaster"" ""Chimelong Paradise"" roller coaster",2025-12-29T02:27:43.571675+00:00,6910173,17730,1175,UCT-LpxQVr4JlrC_mYwJGJ3Q,Theme Park Review
0RPcNwlcAoI,10 Inversion Roller Coaster POV Chimelong Paradise China,Theme Park Review,2010-03-27T08:42:06Z,10 Inversion Roller Coaster,Chimelong Paradise,"Panyu, Guangzhou, Guangdong",China,"""10 Inversion Roller Coaster"" ""Chimelong Paradise"" roller coaster",2025-12-29T02:27:43.571675+00:00,317286,609,365,UCT-LpxQVr4JlrC_mYwJGJ3Q,Theme Park Review
ayYd77sMIYA,"Dive Coaster Roller Coaster Front Seat POV Chimelong Paradise, China",Theme Park Review,2010-03-19T10:10:52Z,10 Inversion Roller Coaster,Chimelong Paradise,"Panyu, Guangzhou, Guangdong",China,"""10 Inversion Roller Coaster"" ""Chimelong Paradise"" roller coaster",2025-12-29T02:27:43.571675+00:00,213766,597,112,UCT-LpxQVr4JlrC_mYwJGJ3Q,Theme Park Review
5nm75O4Htxo,"On découvre Festyland, parc d&#39;attractions familial en Normandie",Park Trips - Parcs d'attractions,2021-08-03T17:19:05Z,1066,Festyland,"Bretteville-Sur-Odon, Normandy, France",France,"""1066"" ""Festyland"" roller coaster",2025-12-29T02:27:43.571675+00:00,51414,531,53,UCeDsih_EKsREQtTvbXBXAEA,Park Trips - Parcs d'attractions
ogGnbeqRsYo,Le 1066: Spirit of Conqueror,Parc Festyland,2013-05-15T09:30:17Z,1066,Festyland,"Bretteville-Sur-Odon, Normandy, France",France,"""1066"" ""Festyland"" roller coaster",2025-12-29T02:27:43.571675+00:00,31888,36,4,UCLzcG0vbe9Ns3Dnn0LimDTA,Parc Festyland
MxniUt9jyzU,1066: Spirit of Conqueror Festyland 8 juli 2012 Frontseat Onride,pampie111,2012-07-22T09:50:03Z,1066,Festyland,"Bretteville-Sur-Odon, Normandy, France",France,"""1066"" ""Festyland"" roller coaster",2025-12-29T02:27:43.571675+00:00,27321,86,11,UCWfQ3_duJKnOMQjsyxnkzUg,pampie111
a8g9VS0vXoQ,3 Loops Coaster (11),Central Park in Uzbekistan,2020-04-27T14:12:14Z,3 Loops Coaster,Central Park,"Tashkent, Uzbekistan",Uzbekistan,"""3 Loops Coaster"" ""Central Park"" roller coaster",2025-12-29T02:27:43.571675+00:00,2276,6,0,UCUKh3WfmQgVpUyOI3E1Ry7Q,Central Park in Uzbekistan
eRzR0BGzAOg,Los 7 Picos de el parque de atracciones de madrid,diego130388,2007-04-09T21:38:31Z,7 Picos,Parque de Atracciones de Madrid,"Madrid, Community of Madrid",Spain,"""7 Picos"" ""Parque de Atracciones de Madrid"" roller coaster",2025-12-29T02:27:43.571675+00:00,139335,227,45,UCvRSyPCUI6OxPtJGUFK2jgQ,diego130388
YspCoCxdHRs,7 Picos video 40 aniversario. Onride y homenaje,Grupo Parques Reunidos,2009-05-08T08:26:33Z,7 Picos,Parque de Atracciones de Madrid,"Madrid, Community of Madrid",Spain,"""7 Picos"" ""Parque de Atracciones de Madrid"" roller coaster",2025-12-29T02:27:43.571675+00:00,37702,179,43,UC-jhdSzYNJzZgHIDzpnTQrg,Grupo Parques Reunidos
oEPLlhnVjIY,40 años del Parque de Atracciones,RTVE Play,2009-06-12T13:32:46Z,7 Picos,Parque de Atracciones de Madrid,"Madrid, Community of Madrid",Spain,"""7 Picos"" ""Parque de Atracciones de Madrid"" roller coaster",2025-12-29T02:27:43.571675+00:00,19557,100,9,UCqlsTzBv49Uiu8Z3IseVgQQ,RTVE Play
-BCu6AQytSo,LAST RIDE (EPISODE #2) DEFUNCT ROLLER COASTERS,LONG LOST AMUSEMENTS,2014-03-30T13:41:07Z,88 Train (Children's Grand Park),Children's Grand Park,"Neung-dong, Songdong-Gu, Seoul",South Korea,"""88 Train (Children's Grand Park)"" ""Children's Grand Park"" roller coaster",2025-12-29T02:27:43.571675+00:00,3564,21,1,UC6AQNV8zlZi1jTaQS5gJCMA,LONG LOST AMUSEMENTS
WeMbE-G_aPc,LAST RIDE (EPISODE #2) DEFUNCT ROLLER COASTERS,The Variety Channel,2014-04-14T04:16:47Z,88 Train (Children's Grand Park),Children's Grand Park,"Neung-dong, Songdong-Gu, Seoul",South Korea,"""88 Train (Children's Grand Park)"" ""Children's Grand Park"" roller coaster",2025-12-29T02:27:43.571675+00:00,629,7,2,UCIMNOoLfO12V9algSFBYz7g,The Variety Channel
HOoKbEPqkFU,Abandon Mine Roller Coaster POV Uncle Bernie&#39;s Theme Park Fort Lauderdale Florida,ozzyray,2017-01-15T15:02:03Z,Abandon Mine,Uncle Bernie's Amusement Park,"Fort Laurderadale, Florida, USA",USA,"""Abandon Mine"" ""Uncle Bernie's Amusement Park"" roller coaster",2025-12-29T02:27:43.571675+00:00,3125,17,3,UCfXhMaLgfB00qy7JNZy9tuw,ozzyray
c9obwQdRt44,Abismo front seat on-ride HD POV Parque de Atracciones de Madrid,CoasterForce,2013-08-19T22:06:01Z,Abismo,Parque de Atracciones de Madrid,"Madrid, Community of Madrid",Spain,"""Abismo"" ""Parque de Atracciones de Madrid"" roller coaster",2025-12-29T02:27:43.571675+00:00,3637848,18878,584,UCIxiXRZqUv9zYVM80cz6ZnA,CoasterForce
q-zhTC2xoeQ,CUANDO VAS CON TU AMIGO MIEDOSO A UN PARQUE DE ATRACCIONES 🎢 #shorts,Pedro Palencia,2023-07-16T12:55:49Z,Abismo,Parque de Atracciones de Madrid,"Madrid, Community of Madrid",Spain,"""Abismo"" ""Parque de Atracciones de Madrid"" roller coaster",2025-12-29T02:27:43.571675+00:00,2242629,131510,228,UC8GTvSootGOomEkbsBWhG9w,Pedro Palencia
ghWm1wy3fl4,TOP 5 mejores atracciones que probé 🎢,Karin Herrero,2025-07-24T13:30:41Z,Abismo,Parque de Atracciones de Madrid,"Madrid, Community of Madrid",Spain,"""Abismo"" ""Parque de Atracciones de Madrid"" roller coaster",2025-12-29T02:27:43.571675+00:00,1850601,100215,696,UC0Rg6ZfYqllkiLKJ16W5E_w,Karin Herrero
rCfoMj4gdZE,Abyss Roller Coaster POV Adventure World Perth Australia 2013 On-Ride,Theme Park Review,2013-11-08T14:16:31Z,Abyss (Adventure World),Adventure World,"Bibra Lake, Western Australia, Australia",Australia,"""Abyss (Adventure World)"" ""Adventure World"" roller coaster",2025-12-29T02:27:43.571675+00:00,491428,2002,506,UCT-LpxQVr4JlrC_mYwJGJ3Q,Theme Park Review
Y8-QEcoe1cw,Collide sped up at Adventureworld Perth,We Are The Lavers,2023-01-22T08:01:58Z,Abyss (Adventure World),Adventure World,"Bibra Lake, Western Australia, Australia",Australia,"""Abyss (Adventure World)"" ""Adventure World"" roller coaster",2025-12-29T02:27:43.571675+00:00,358254,5625,100,UC40QMU4lbAE3HAn33jUA5gg,We Are The Lavers
tgBnuexXa2w,"ALL WATER SLIDES at Adventure World Perth, Australia!",TUBERIDES,2019-01-15T15:34:48Z,Abyss (Adventure World),Adventure World,"Bibra Lake, Western Australia, Australia",Australia,"""Abyss (Adventure World)"" ""Adventure World"" roller coaster",2025-12-29T02:27:43.571675+00:00,293836,1657,220,UC1vKZUIDvfvnQcpxUfp5tSw,TUBERIDES
qc9sq_AtvJc,Energylandia TRAPDOOR Water Slide - Kamikadze,WaterTube,2020-07-06T13:00:15Z,Abyssus,Energylandia,"Zator, Małopolskie, Poland",Poland,"""Abyssus"" ""Energylandia"" roller coaster",2025-12-29T02:27:43.571675+00:00,34655557,92750,880,UCNSrQ2Tw4DgPvz_XuyeJEYA,WaterTube
D0XdmzNy9bE,"7 NAJSTRASZNIEJSZYCH ROLLERCOASTERÓW - Energylandia 2025 (4K) (Zator, Polska) GoPro HERO 13",Keendi,2025-04-01T14:00:22Z,Abyssus,Energylandia,"Zator, Małopolskie, Poland",Poland,"""Abyssus"" ""Energylandia"" roller coaster",2025-12-29T02:27:43.571675+00:00,11323404,38648,518,UCJPWLoeXUxPP0n066BHHEAQ,Keendi
ECC0-YukJEk,ZADRA Energylandia Best Rollercoaster in Europe,lisek1444zgl,2019-08-25T11:51:03Z,Abyssus,Energylandia,"Zator, Małopolskie, Poland",Poland,"""Abyssus"" ""Energylandia"" roller coaster",2025-12-29T02:27:43.571675+00:00,8165845,49444,229,UCGxpLLSXd-01_qh2IGFEB3A,lisek1444zgl
kxYrTtlT0v4,Ben 10 Ultimate Mission front seat HD POV Drayton Manor,CoasterForce,2011-04-21T16:45:22Z,Accelerator (Drayton Manor Resort),Drayton Manor Resort,"Fazeley, Staffordshire, England",UK,"""Accelerator (Drayton Manor Resort)"" ""Drayton Manor Resort"" roller coaster",2025-12-29T02:27:43.571675+00:00,707350,1290,431,UCIxiXRZqUv9zYVM80cz6ZnA,CoasterForce
