title,name,park,location,country,state,section,coord_lat,coord_long,status,opened,closed,manufacturer,builder,designer,product,class,type,speed,height,drop,angle,g_force,inversions,length,duration,layout,lift_launch,min_height,min_height_unaccompanied,max_height,restriction,riders_hour,riders_train
10 Inversion Roller Coaster,10 Inversion Roller Coaster,[[Chimelong Paradise]],"Panyu, Guangzhou, Guangdong",China,,,23.003764,113.326432,standing but not operating,February 2006,2025,[[Intamin]],,[[Ing.-Büro Stengel GmbH]],Multi Inversion Coaster (10 Inversion Rev. A),,,80,30,,,,10,850,1:32,,[[Chain lift]] hill,140,,195,,1340,28
1066,1066,[[Festyland]],"Bretteville-Sur-Odon, Normandy, France",France,,,49.1814029,-0.4195629,operating,27 March 2005,,[[Soquet]],,,[[Train de la Mine (Soquet product)|Train de la Mine]],,,65,,17,,,0,400,1:00,,[[Chain lift]] hill,100,120,,,,12
2 Way Coaster,2 Way Coaster,[[Tokyo Dome City|Korakuen Amusement Park]],"Bunkyo, Tokyo",Japan,,,35.706556,139.752991,defunct,1968,2000,[[TOGO|Togo]],,,Sitdown,roller,,55,,,,,0,1500,,,2 [[Chain lift|Chain lift hills]],,,,,,24
3 Loops Coaster,3 Loops Coaster,[[Central Park (Uzbekistan)|Central Park]],"Tashkent, Uzbekistan",Uzbekistan,,,41.313197,69.299348,operating,2018,,[[SBF Visa Group]],,,[[Spinning Coasters (SBF Visa Group product)|Spinning Coasters]] <br> 3 Loop model A,,,30,6.55,,,,0,113,,,2 [[Friction wheel|tyre propelled lifts]],,,,,,16
4 Ring Roller Coaster (Daguan Park),4 Ring Roller Coaster,[[Daguan Park]],"Xishan, Kunming, Yunnan, China",China,,,25.024356,102.66691,operating,January 2009,,[[Hebei Zhongye Metallurgical Equipment Manufacturing]],,,4 Ring Coaster,,,,,,,,4,680,,,[[Chain lift]] hill,,,,,,
4 Ring Roller Coaster (Taolin Happy World),4 Ring Roller Coaster,[[Taolin Happy World]],"Yangquan, Shanxi, China",China,,,37.89269,113.5490,operating,2014,,[[Zhipao]],,,4 Ring Roller Coaster,,,,,,,,4,,,,[[Chain lift]] hill,,,,,,16
7 Picos,7 Picos,[[Parque de Atracciones de Madrid]],"Madrid, Community of Madrid",Spain,,,40.412781,-3.749340,defunct,15 May 1969,11 September 2005,[[Schwarzkopf]],,,[[Wildcat (product)|Wildcat]],,,60,13.5,,,,0,460,1:26,,[[Chain lift]] hill,122,,,,900,4
88 Train (Children's Grand Park),88 Train,[[Children's Grand Park]],"Neung-dong, Songdong-Gu, Seoul",South Korea,,,,,defunct,1984,2012 or earlier,[[Meisho Amusement Machines]],,,[[Loop and Spiral Coaster (Meisho product)|Loop and Spiral Coaster]],,,,,,,,3,,2:10,,[[Chain lift]] hill,,,,,,24
Abandon Mine,Abandoned Mine,[[Uncle Bernie's Amusement Park]],"Fort Laurderadale, Florida, USA",USA,Florida,,,,defunct,2002,"September 20, 2021",[[Molina & Son's]],,,,,,,,,,,0,,,,[[Chain lift]] hill,,,,,,10
Abismo,Abismo,[[Parque de Atracciones de Madrid]],"Madrid, Community of Madrid",Spain,,Zona del Maquinismo,40.4128071,-3.7493151,operating,27 June 2006,,[[Maurer Rides]],,,[[SkyLoop]] XT 450,,,105,46.2,,,4,2,450,1:00,,Vertical [[chain lift]] hill,135,,200,,550,12
